Hotel_Name,Hotel_Adress,Distance_to_Center,Number_of_Reviews,Customer_Rating,Number_of_Stars,Price,Free_Cancellation,Accommodation_Type
Yasmin Hotel,"Ayvalık, Balıkesir -",Unknown,15,7.4,0,55.567 TL,No,Breakfast Included
Haliç Park Ayvalık,"Cunda Adası, Ayvalık, Balıkesir -",Unknown,202,8.0,5,54.312 TL,No,All Inclusive
Willmont Hotel,"Karesi, Balıkesir -",Merkeze 3.3 km,84,8.4,4,54.000 TL,No,Breakfast Included
Myrodia by Etapaltinel,"Cunda Adası, Ayvalık, Balıkesir -",Unknown,35,8.7,0,53.996 TL,No,Breakfast Included
Ivy Sailing Resort,"Ayvalık, Balıkesir -",Unknown,82,5.1,0,53.760 TL,No,All Inclusive (Alcohol Not Included)
Cunda Villa Anka,"Cunda Adası, Ayvalık, Balıkesir -",Unknown,16,9.5,0,52.775 TL,No,Breakfast Included
Pınar Otel,"Erdek, Balıkesir -",Unknown,68,9.7,0,51.894 TL,No,Breakfast Included
Mola Hotel,"Marmara Adası, Balıkesir -",Unknown,45,9.5,0,51.601 TL,No,Breakfast Included
Oren Konak Apart Otel,"Ören, Burhaniye, Balıkesir -",Unknown,5,10.0,0,49.659 TL,No,Standard
Fragrante Hotel - Adult Only,"Mithatpaşa, Ayvalık, Balıkesir -",Unknown,51,9.9,3,49.083 TL,No,Standard
Tabiat Park Resort Hotel Ayvalik,"Ayvalık, Balıkesir -",Unknown,94,5.9,4,48.222 TL,No,Half board
Mulka Hotel,"Küçükköy, Ayvalık, Balıkesir -",Unknown,42,7.4,3,48.099 TL,No,Breakfast Included
Ömer Ağa Konağı,"Cunda Adası, Ayvalık, Balıkesir -",Unknown,58,9.3,0,48.000 TL,No,Breakfast Included
Şekercigiller Grup Konuk Evi,"Ayvalık, Balıkesir -",Unknown,22,9.3,0,47.584 TL,No,Standard
Verde Blu Bungalow,"Altınoluk, Edremit, Balıkesir -",Unknown,11,7.6,0,47.040 TL,No,Breakfast Included
Grand Milano Hotel,"Ayvalık, Balıkesir -",Unknown,31,8.3,3,46.440 TL,No,Breakfast Included
Kazdağları Zeytunihan Butik Otel,"Kazdağları, Edremit, Balıkesir -",Unknown,3,9.5,0,45.900 TL,No,Breakfast Included
Zeytin Arası Taş Evler,"Küçükköy, Ayvalık, Balıkesir -",Unknown,21,8.6,0,45.360 TL,No,Breakfast Included
Gönen Palmiye Butik Pansiyon,"Gönen, Balıkesir -",Unknown,1,2.0,0,12.189 TL,No,Breakfast Included
Afytos Park Ören,"Burhaniye, Balıkesir -",Unknown,12,4.2,0,29.160 TL,No,All Inclusive
Ivy Sailing Resort,"Ayvalık, Balıkesir -",Unknown,82,5.1,0,53.760 TL,No,All Inclusive (Alcohol Not Included)
Afytos Akçay,"Edremit, Balıkesir -",Unknown,77,5.4,4,44.994 TL,No,All Inclusive
Tabiat Park Resort Hotel Ayvalik,"Ayvalık, Balıkesir -",Unknown,94,5.9,4,48.222 TL,No,Half board
Paradise Hotel Akçay,"Edremit, Balıkesir -",Unknown,8,6.4,0,21.000 TL,No,Breakfast Included
Aqua Nina Hotel,"Ören, Burhaniye, Balıkesir -",Unknown,44,6.8,3,95.028 TL,No,Half board
Uytun Hotel,"Edremit, Balıkesir -",Unknown,60,6.9,3,18.048 TL,No,Breakfast Included
Bahar Aqua Resort,"Avşa, Marmara, Balıkesir -",Unknown,109,6.9,0,22.331 TL,No,Breakfast Included
Yaman Beach Hotel,"Erdek, Balıkesir -",Unknown,145,7.0,0,24.785 TL,No,Breakfast Included
Mandarin Oriental Bodrum,"Göltürkbükü, Bodrum, Muğla -",Unknown,326,9.4,5,532.173 TL,No,Breakfast Included
Liberty Lykia,"Ölüdeniz, Fethiye, Muğla -",Unknown,30,8.9,5,408.752 TL,No,All Inclusive
D Maris Bay,"Hisarönü, Marmaris, Muğla -",Unknown,14,9.4,5,366.843 TL,No,Breakfast Included
